id_tag,id_user,type,created_at,updated_at
330,87,0,2011-03-16 12:09:10,2013-04-27 19:46:39
114,44,1,2012-10-10 16:50:49,2014-06-06 19:04:41
121,65,0,2008-09-10 18:35:01,2014-10-05 13:52:04
152,40,0,2008-07-20 08:20:33,2012-11-29 06:00:42
182,14,1,2010-05-03 09:16:23,2013-03-23 10:26:09
143,17,1,2012-06-14 16:31:40,2013-10-31 06:34:57
329,69,1,2012-05-05 16:55:18,2012-12-08 09:44:51
291,78,0,2011-08-01 14:47:44,2013-07-18 00:41:01
181,73,1,2011-06-27 22:05:43,2014-06-06 11:46:08
294,39,1,2010-02-27 20:14:41,2014-06-04 14:43:03
222,33,1,2011-10-23 06:01:55,2013-11-11 02:52:31
146,65,0,2009-11-07 05:54:16,2013-12-22 22:20:52
171,100,1,2008-09-15 18:14:39,2013-06-09 15:27:04
64,43,0,2008-04-25 09:17:14,2013-05-03 22:59:41
32,95,0,2009-02-15 07:12:07,2013-06-14 11:41:33
91,36,1,2008-06-16 05:59:53,2013-11-11 05:49:50
254,30,0,2008-06-27 20:48:19,2013-12-13 06:17:01
45,13,0,2012-07-19 06:26:39,2013-05-13 06:41:33
37,65,1,2011-07-01 17:39:30,2014-02-16 21:50:46
142,49,0,2008-10-04 05:39:42,2013-02-03 23:14:29
306,12,1,2011-10-30 20:32:30,2014-03-16 23:25:35
71,54,0,2008-01-27 13:33:02,2014-04-20 22:01:00
340,2,0,2012-04-29 02:14:49,2013-06-15 10:01:41
134,20,1,2012-06-05 04:35:49,2013-10-14 17:02:41
66,30,1,2010-02-21 18:42:06,2012-12-23 23:14:57
45,55,1,2009-08-04 14:36:01,2013-01-02 19:06:39
83,28,0,2011-06-28 11:22:16,2013-05-21 01:48:44
12,41,0,2010-12-12 06:28:37,2013-12-29 01:58:46
213,51,1,2011-12-27 10:41:51,2013-08-26 23:15:08
318,92,0,2008-12-16 20:36:00,2013-03-05 03:39:44
208,79,1,2011-05-15 17:14:40,2013-09-16 05:03:44
213,99,0,2012-03-30 09:07:47,2014-07-26 06:53:24
95,96,0,2010-08-03 23:36:48,2014-01-30 23:52:30
325,34,0,2011-04-27 06:12:47,2014-09-25 09:28:21
6,53,1,2010-02-06 14:45:34,2014-09-21 03:48:47
18,66,0,2008-07-28 18:42:56,2013-10-21 02:52:56
155,89,0,2011-11-14 10:43:29,2013-09-06 20:36:39
45,93,1,2008-11-22 20:43:29,2013-07-15 19:51:03
330,53,0,2009-11-12 12:27:41,2013-10-31 19:40:29
138,44,0,2012-01-29 13:27:26,2013-06-17 13:40:06
115,3,0,2011-10-10 16:07:35,2013-07-06 19:55:23
132,64,1,2008-06-17 14:03:17,2014-03-16 06:18:45
261,25,0,2008-05-14 17:43:36,2013-04-08 18:22:28
146,99,1,2008-06-18 06:20:01,2014-07-19 23:59:28
306,29,1,2009-10-02 11:20:17,2014-09-01 14:28:58
314,67,0,2012-01-02 05:07:00,2014-09-24 05:55:58
62,27,1,2008-01-02 18:04:24,2013-09-12 23:08:01
294,89,0,2011-06-06 22:02:31,2013-09-09 17:38:39
65,87,1,2009-03-31 03:01:50,2013-10-16 10:58:35
8,1,0,2008-05-15 06:25:52,2014-11-23 04:04:31
66,89,0,2008-07-28 15:48:04,2014-11-14 21:15:06
227,51,1,2010-01-16 08:24:40,2014-06-26 18:03:25
331,26,1,2009-08-09 07:04:38,2013-07-07 03:25:58
222,67,1,2011-05-22 19:54:54,2014-02-21 07:26:57
340,54,0,2009-06-18 10:41:08,2014-06-25 17:20:50
143,44,1,2011-04-25 23:35:13,2012-12-04 08:40:36
131,62,0,2012-01-15 18:35:52,2014-11-25 16:08:36
148,46,1,2011-06-16 19:29:54,2014-09-10 06:02:36
325,64,1,2012-10-20 05:49:18,2014-06-16 19:34:37
30,66,1,2012-10-29 19:25:46,2014-07-01 00:30:44
272,85,1,2008-12-07 03:49:26,2014-09-25 05:14:44
114,50,0,2008-03-13 10:45:06,2014-03-09 12:54:45
161,44,0,2008-11-23 04:21:08,2013-12-19 21:08:56
291,7,0,2012-01-09 17:30:50,2014-07-28 22:15:56
68,4,1,2008-08-13 07:30:04,2014-01-16 14:55:42
295,45,0,2010-06-13 10:31:18,2013-08-08 05:53:00
54,83,1,2008-11-25 16:34:59,2014-07-17 17:47:36
258,25,0,2012-01-14 04:38:42,2013-06-21 03:57:46
69,17,1,2010-01-02 20:13:39,2013-07-28 21:13:19
181,26,0,2012-04-08 09:17:59,2013-09-09 19:39:58
294,4,0,2008-01-07 10:31:30,2013-12-13 01:19:24
18,36,1,2008-09-02 16:42:52,2013-01-26 16:16:52
270,82,0,2011-01-23 22:53:52,2013-03-08 04:55:54
260,65,0,2012-02-10 11:47:52,2013-11-18 23:12:27
133,84,0,2007-11-14 21:26:53,2013-07-16 11:54:43
195,68,1,2011-09-17 01:49:04,2014-06-21 06:26:48
59,84,1,2007-11-07 03:11:26,2013-12-09 11:04:55
138,57,1,2008-08-15 07:40:06,2013-11-12 06:39:54
25,77,0,2008-12-12 19:35:12,2013-11-12 13:08:13
134,28,0,2009-06-27 12:44:55,2014-02-14 02:56:42
124,12,0,2012-08-06 16:48:26,2014-09-03 19:12:18
59,17,1,2008-02-15 17:15:11,2014-09-28 03:54:40
167,94,0,2010-03-21 18:59:11,2013-12-14 10:04:58
77,68,0,2012-01-27 06:41:06,2013-10-23 09:54:36
12,6,1,2011-07-13 15:30:58,2013-08-02 18:32:52
310,61,1,2008-06-14 11:14:52,2013-09-01 12:46:21
66,78,0,2010-08-25 21:39:29,2013-09-13 03:09:37
108,18,0,2011-04-22 05:33:10,2014-04-10 10:17:14
235,25,1,2008-10-31 06:21:52,2013-06-19 18:47:41
72,63,0,2012-08-17 01:54:29,2013-09-05 08:04:05
348,98,0,2010-12-13 07:56:36,2012-12-01 17:39:06
284,15,0,2011-05-28 10:03:07,2013-06-10 00:58:06
346,62,0,2009-09-29 02:30:53,2014-11-14 21:18:31
342,84,1,2010-07-04 15:52:47,2013-03-02 10:00:30
213,87,0,2011-12-04 17:25:17,2014-08-10 08:21:52
27,76,1,2008-04-03 08:56:15,2014-10-18 12:39:53
79,94,0,2009-12-17 09:17:41,2013-08-24 05:17:41
72,25,1,2012-04-03 10:22:02,2013-03-25 10:41:25
264,92,1,2009-07-01 09:36:25,2014-08-04 21:39:02
22,13,0,2008-01-28 20:53:43,2014-11-20 02:12:00
228,12,0,2008-05-29 23:02:26,2014-05-30 07:19:07
125,93,1,2012-01-27 02:42:01,2014-09-08 11:52:05
81,91,0,2011-01-28 18:59:39,2014-01-25 09:07:37
14,89,0,2008-04-20 20:56:26,2013-03-21 19:46:35
183,50,1,2008-02-24 10:52:46,2014-07-26 23:42:20
21,57,1,2010-01-25 00:37:36,2013-08-23 14:30:05
72,80,1,2009-05-18 01:36:47,2014-05-22 07:02:45
45,100,1,2012-08-18 05:54:54,2014-07-25 21:05:12
78,76,1,2009-05-22 06:57:19,2013-07-27 18:44:14
195,82,1,2011-03-07 12:16:27,2013-04-02 11:20:01
180,47,1,2009-03-23 20:50:41,2013-08-25 06:24:11
155,82,1,2012-05-04 20:27:03,2013-03-09 05:24:45
180,5,1,2012-07-06 06:37:39,2012-12-19 14:56:55
70,9,1,2010-11-10 23:01:56,2013-06-04 09:17:20
253,61,0,2010-09-12 18:30:21,2014-01-11 09:33:27
39,67,1,2011-10-12 04:39:35,2014-02-24 09:49:17
89,87,1,2012-07-10 11:25:00,2014-08-12 04:52:15
118,100,1,2010-12-25 23:25:54,2014-07-05 23:01:22
232,22,0,2011-07-11 17:38:13,2013-02-22 00:07:44
318,78,0,2008-06-04 05:39:53,2013-09-24 00:11:38
96,29,1,2009-02-26 15:31:36,2014-11-12 13:48:58
264,73,0,2009-06-19 09:23:51,2013-05-11 12:10:57
54,25,0,2011-06-05 04:45:25,2014-08-15 04:03:55
163,45,1,2008-05-03 14:28:50,2013-01-22 17:05:00
232,17,0,2009-11-19 03:41:39,2013-12-08 20:55:23
123,28,1,2009-02-03 02:17:48,2014-09-10 23:14:45
214,53,1,2011-12-13 20:15:32,2013-10-12 13:49:04
233,86,1,2011-01-19 22:35:27,2013-03-21 21:08:09
251,53,1,2010-06-16 21:00:29,2012-11-30 07:13:25
181,43,1,2009-11-01 22:51:40,2014-06-10 10:58:37
46,71,1,2011-01-28 04:43:43,2013-02-22 02:30:55
73,46,1,2010-08-17 16:58:03,2014-03-01 07:57:01
36,61,1,2011-06-28 02:15:04,2014-11-21 08:48:05
16,8,0,2008-12-30 08:00:34,2013-03-07 16:59:19
25,74,1,2009-06-11 19:05:25,2014-02-27 07:23:02
246,9,1,2009-03-10 13:40:23,2013-06-24 01:58:19
350,70,0,2011-09-03 19:20:18,2013-06-19 01:33:11
58,36,0,2009-08-28 15:24:43,2014-08-02 23:08:02
116,8,1,2010-11-11 12:02:46,2014-01-29 14:52:54
250,59,0,2009-02-01 23:02:56,2014-01-12 01:38:15
305,72,1,2011-11-11 14:35:22,2014-03-03 08:45:09
111,93,0,2010-11-08 18:01:38,2012-12-01 19:10:54
