id_user,id_source,tag,created_at,updated_at
82,112,"ornare,",2010-08-20 19:47:31,2014-06-29 23:07:44
68,356,vel,2011-08-13 04:13:24,2013-10-11 16:32:41
86,272,lorem,2009-05-21 13:11:23,2014-09-11 07:42:33
4,394,"a,",2010-09-19 06:06:33,2013-12-13 17:02:29
94,230,sodales,2011-10-17 09:22:28,2012-08-17 01:54:12
85,333,non,2010-09-23 12:34:32,2013-08-15 08:01:55
68,54,dapibus,2010-01-10 23:27:32,2012-05-10 15:16:32
98,356,metus,2011-08-29 10:36:16,2014-07-17 09:01:39
28,302,"non,",2010-08-10 09:32:35,2012-06-09 02:39:14
94,292,pede.,2011-06-05 02:42:02,2014-01-18 16:31:48
55,220,magnis,2010-10-23 04:30:26,2013-12-03 07:58:24
86,92,suscipit,2008-05-21 05:48:52,2014-11-06 17:26:10
30,34,"vulputate,",2010-06-29 12:53:25,2014-08-02 01:01:17
7,47,varius,2009-06-05 18:05:01,2014-07-16 10:56:08
18,22,Fusce,2011-06-06 15:10:33,2014-09-01 18:49:02
97,357,nec,2009-10-10 15:30:39,2014-01-18 16:46:08
58,227,odio,2008-08-26 03:51:36,2014-06-17 21:19:55
13,217,arcu,2011-10-11 02:10:19,2014-01-05 17:41:50
16,328,Donec,2009-09-12 13:54:40,2013-08-21 15:40:01
47,303,Sed,2009-02-11 01:20:38,2012-10-30 13:21:58
52,120,dapibus,2011-08-13 03:28:46,2013-02-23 16:10:59
84,63,sit,2009-07-08 13:44:35,2013-01-23 09:15:57
7,181,Aliquam,2009-10-17 05:51:18,2013-11-11 07:57:13
97,207,ultricies,2010-02-12 10:50:53,2014-08-18 16:03:59
86,276,blandit.,2009-12-22 02:10:29,2012-07-19 23:15:19
33,263,ipsum.,2011-01-05 02:31:34,2012-08-29 19:29:31
63,95,sed,2009-07-12 00:40:56,2013-05-20 03:25:32
7,143,ultrices.,2009-02-27 00:23:08,2014-07-22 06:56:56
40,205,eu,2010-12-01 02:57:05,2012-12-19 04:25:41
50,390,tellus,2011-05-04 04:49:04,2012-11-05 15:01:26
32,196,"dui,",2009-10-25 01:55:57,2014-07-20 01:03:40
69,132,enim.,2008-12-29 10:50:21,2011-12-03 17:21:32
30,156,diam.,2009-11-14 19:49:09,2013-06-14 07:05:14
99,141,"adipiscing,",2008-11-26 09:41:34,2012-09-09 00:32:45
79,83,Nam,2008-04-05 21:25:13,2013-07-18 21:02:59
65,211,Duis,2008-04-11 03:16:01,2013-05-15 02:32:20
41,62,ipsum,2010-04-30 09:15:27,2013-02-10 04:31:42
73,88,tellus,2011-08-31 23:16:44,2012-07-07 17:23:42
60,247,"vitae,",2009-01-19 22:22:17,2012-11-29 17:22:01
29,44,pede.,2009-06-06 12:26:16,2014-08-04 03:45:19
74,169,Cras,2009-04-23 06:40:49,2013-01-15 14:46:44
50,45,sem,2009-03-25 02:17:25,2014-04-09 14:06:36
40,163,ligula.,2008-03-04 16:49:21,2012-04-12 04:06:17
77,156,"lacus,",2010-06-23 09:29:19,2012-09-25 22:42:37
65,73,Donec,2009-12-28 02:12:32,2011-12-20 22:49:13
23,331,"vel,",2010-08-07 11:34:31,2012-10-29 17:46:44
46,94,ipsum,2008-06-11 15:21:31,2014-02-23 16:26:16
93,384,adipiscing,2008-02-21 02:46:53,2013-02-22 14:14:07
76,223,augue,2010-09-07 00:33:40,2013-05-30 09:51:33
11,338,Donec,2011-05-28 03:39:14,2014-08-26 00:24:31
23,42,Suspendisse,2009-04-12 03:39:52,2014-05-28 14:23:07
12,265,penatibus,2008-07-14 13:14:19,2014-05-24 21:34:04
30,320,lorem,2008-04-20 19:32:59,2012-05-21 18:55:30
65,246,facilisis,2010-12-25 19:32:47,2014-03-30 03:07:56
33,6,"eu,",2008-09-13 07:04:43,2013-07-23 05:40:04
77,220,"imperdiet,",2010-12-23 10:24:07,2012-10-07 17:14:42
46,378,porttitor,2007-11-02 05:54:17,2012-06-09 14:16:13
14,286,torquent,2008-05-04 01:56:23,2012-09-12 19:24:04
27,327,ullamcorper,2009-04-26 16:24:41,2014-07-19 20:54:27
10,119,metus.,2011-03-24 01:29:35,2012-12-11 14:22:31
85,207,ipsum.,2010-08-05 18:50:48,2011-12-08 23:28:28
60,254,Nullam,2008-08-14 16:02:33,2012-01-13 01:10:07
93,371,pede,2007-11-06 06:50:11,2013-09-11 03:44:35
70,231,tincidunt,2008-11-15 23:29:22,2011-12-13 11:51:21
47,360,nibh.,2011-03-20 02:04:59,2013-06-16 13:29:00
42,268,"augue,",2011-09-11 02:02:48,2012-07-02 11:18:18
22,49,et,2009-12-29 05:20:08,2014-08-29 06:56:07
68,104,rutrum,2008-04-12 18:55:56,2013-01-12 01:19:41
94,211,sociis,2010-12-28 10:09:45,2012-08-04 05:08:46
89,249,tincidunt,2011-04-11 00:42:49,2013-06-07 16:28:29
98,187,"id,",2009-09-04 08:43:19,2014-11-21 12:39:37
18,28,"eget,",2010-12-20 00:35:09,2012-07-06 10:30:34
3,396,neque.,2011-08-03 08:02:35,2012-06-18 03:53:42
69,274,nibh.,2009-01-31 21:19:09,2014-09-05 07:13:11
97,60,ac,2009-03-10 23:45:48,2011-12-17 06:03:22
25,225,"vel,",2009-05-27 22:31:09,2014-03-09 18:29:40
10,312,Fusce,2007-12-14 15:49:36,2012-03-17 03:53:48
88,182,"vitae,",2008-07-24 19:47:13,2014-07-29 15:31:29
39,156,Donec,2010-09-26 20:59:29,2014-04-17 03:43:35
71,112,Sed,2009-01-25 21:55:52,2013-03-10 05:18:56
34,103,"et,",2007-12-19 19:17:11,2012-03-07 08:59:26
48,171,adipiscing,2011-01-22 06:56:45,2013-12-20 08:48:32
25,182,mattis,2008-08-23 17:20:55,2013-12-14 11:12:39
96,57,pretium,2009-06-15 00:46:17,2013-10-11 14:34:13
25,42,nec,2011-05-12 03:36:54,2012-11-29 20:06:45
44,141,"montes,",2008-12-19 01:21:37,2012-01-21 18:57:30
31,177,dictum.,2011-02-04 05:27:26,2012-12-25 05:46:08
29,129,arcu.,2009-06-28 23:29:57,2013-01-26 08:20:54
54,282,"vel,",2009-04-15 11:56:10,2012-07-13 02:02:41
31,166,amet,2008-06-24 19:37:31,2014-03-02 16:06:19
71,298,"urna,",2009-11-17 12:32:49,2012-02-13 14:32:58
57,88,ac,2009-01-07 10:10:59,2012-03-22 03:56:08
51,187,dignissim.,2009-06-04 02:36:18,2013-10-09 01:48:02
43,171,nascetur,2008-02-03 09:55:02,2011-12-03 15:49:13
5,270,elit,2010-03-30 19:24:41,2013-02-26 22:05:32
82,47,"tellus,",2008-06-24 05:52:42,2012-12-17 17:36:20
15,167,bibendum,2008-04-24 07:54:54,2014-01-21 22:52:19
26,281,elit,2007-12-03 17:17:48,2013-12-03 13:04:22
82,95,Sed,2008-09-08 14:04:06,2012-10-06 20:42:08
78,215,amet,2008-12-03 05:50:29,2012-08-02 17:01:15
2,96,metus,2011-06-20 08:05:19,2014-09-12 18:18:31
51,322,aliquam,2010-05-07 16:30:57,2013-01-28 07:34:16
44,123,Nunc,2007-11-22 04:47:03,2014-09-01 16:37:30
82,293,tincidunt.,2009-10-01 11:37:19,2013-03-15 01:14:30
34,312,massa.,2009-09-20 10:29:22,2014-04-10 06:37:13
96,237,Quisque,2009-04-27 02:07:48,2013-03-28 07:41:19
94,293,Vivamus,2011-06-01 15:30:20,2013-08-09 09:31:14
37,393,ridiculus,2010-04-27 09:34:08,2012-12-24 01:47:58
11,322,eget,2010-03-11 04:35:50,2012-10-16 22:12:12
57,233,laoreet,2010-07-20 07:22:53,2012-03-17 10:48:16
44,238,orci,2011-08-14 07:50:03,2013-12-28 02:27:50
6,43,sodales,2010-04-06 23:28:47,2013-02-12 06:54:51
89,215,"a,",2009-05-08 22:42:17,2014-09-15 10:02:10
20,140,Cum,2007-11-26 04:42:59,2012-08-29 03:04:33
93,273,lectus,2010-11-27 07:56:28,2012-07-14 14:11:57
34,256,"lacus,",2010-05-22 04:53:22,2012-10-14 17:45:45
87,232,Phasellus,2007-11-30 06:52:39,2013-01-04 10:52:57
81,375,massa,2008-12-03 12:37:06,2012-12-28 07:16:56
46,20,magna.,2011-08-11 16:01:38,2013-11-20 20:59:06
35,244,"amet,",2011-08-20 22:25:31,2014-03-10 06:14:33
77,18,ac,2008-05-19 10:58:00,2013-05-19 05:54:53
44,39,est,2009-12-22 16:05:08,2014-02-07 12:03:45
91,393,mollis,2009-07-26 22:21:18,2014-09-03 11:40:54
69,72,orci,2011-09-30 21:49:14,2012-06-03 03:00:21
21,43,ac,2007-12-03 05:41:02,2014-02-12 16:55:13
51,178,nunc,2010-08-28 13:09:13,2013-01-17 22:30:19
40,123,vehicula,2009-10-28 20:39:53,2012-08-12 01:38:42
2,47,"non,",2008-01-03 23:46:56,2014-08-29 16:16:49
63,229,"urna,",2009-11-15 11:46:47,2014-06-20 11:27:44
5,365,"non,",2008-01-21 11:04:40,2013-01-13 19:18:22
5,273,eros,2009-10-21 02:45:37,2012-12-04 21:00:31
65,48,luctus,2011-05-30 00:08:05,2013-11-22 05:07:02
36,11,Fusce,2008-02-20 21:36:34,2014-06-02 04:57:11
60,285,Cras,2010-03-27 19:01:15,2013-12-07 21:56:04
20,366,nascetur,2010-12-26 07:52:35,2014-08-29 17:59:40
47,167,Proin,2011-03-30 23:04:42,2012-05-12 12:32:16
40,323,tincidunt,2009-09-21 09:53:31,2012-04-23 21:24:36
90,329,est.,2010-02-01 19:42:22,2014-01-29 13:17:20
35,181,et,2009-09-10 21:47:37,2014-07-30 01:46:22
84,199,a,2009-05-03 06:59:49,2012-05-23 14:23:27
95,218,Duis,2008-04-10 12:12:05,2012-11-12 05:27:12
10,77,Donec,2010-09-30 17:50:34,2012-03-14 11:44:41
35,217,neque.,2008-08-07 12:28:18,2013-11-05 09:33:44
59,56,"sed,",2007-11-28 19:43:20,2014-07-27 13:14:28
100,131,Nullam,2010-08-06 06:22:41,2013-08-28 10:52:54
52,318,dolor.,2010-09-09 04:22:55,2013-02-20 14:20:44
49,77,enim,2010-12-03 02:41:47,2012-10-15 11:50:08
76,35,velit.,2010-12-31 09:29:35,2013-04-25 12:19:43
16,171,fames,2008-08-02 19:43:02,2013-09-01 03:01:17
12,107,Aliquam,2008-02-10 04:10:01,2013-09-09 17:38:37
11,83,eget,2009-09-16 21:34:30,2012-09-07 11:03:49
31,19,lorem,2011-04-27 00:23:22,2013-05-11 19:44:49
70,78,nec,2011-03-18 12:53:26,2013-07-08 22:39:17
1,29,Cras,2008-11-03 17:58:25,2012-12-13 08:44:26
73,103,adipiscing,2010-12-23 19:30:58,2014-02-18 12:34:55
4,241,"et,",2011-01-01 16:33:08,2014-11-10 12:55:10
46,228,lorem,2008-03-15 01:59:02,2013-08-09 13:40:34
84,304,nibh.,2010-01-09 15:17:51,2013-06-26 09:34:19
84,138,sem.,2009-12-18 15:44:34,2013-05-18 00:12:31
95,80,pede.,2009-12-18 20:49:38,2014-05-12 07:07:48
94,120,Sed,2008-05-22 10:27:46,2013-03-21 00:26:21
70,240,Morbi,2011-10-01 18:31:13,2014-09-15 01:28:48
36,119,rutrum,2008-01-27 17:11:06,2012-11-05 21:02:18
46,121,tempor,2010-02-13 16:20:23,2012-08-18 21:03:54
91,13,egestas.,2008-09-08 20:23:29,2013-04-10 00:43:17
91,28,laoreet,2009-07-09 16:08:35,2013-11-22 14:08:30
50,211,interdum,2009-04-11 00:16:33,2014-09-16 22:37:43
17,144,Nulla,2009-09-04 08:53:14,2012-03-15 20:21:35
26,79,mollis,2010-03-23 17:37:01,2013-01-12 06:50:41
8,58,tellus.,2010-06-02 10:20:37,2012-06-06 07:08:54
12,33,amet,2009-11-12 05:28:57,2013-07-05 09:04:30
38,309,ligula.,2008-10-30 10:32:34,2013-02-18 22:31:33
68,53,"eu,",2008-05-08 11:49:52,2013-03-24 13:10:50
17,234,fermentum,2008-03-18 02:24:01,2012-04-24 07:25:01
74,197,"augue,",2007-12-12 08:43:14,2014-07-26 10:47:39
56,161,Vestibulum,2010-05-26 07:16:24,2012-10-25 12:12:08
98,359,odio,2009-07-31 14:07:46,2012-12-11 04:49:24
98,25,mattis.,2010-01-23 17:24:10,2012-04-28 10:25:10
74,125,interdum,2009-07-14 09:02:58,2014-08-11 17:35:45
85,153,cursus,2009-04-14 14:42:36,2014-05-21 14:57:27
15,200,ipsum,2008-06-08 01:51:50,2014-01-11 02:13:06
76,348,dolor,2009-10-24 21:18:11,2014-04-25 01:12:35
97,217,Nam,2009-03-31 16:30:24,2012-05-03 12:30:06
47,283,tincidunt,2010-03-31 23:17:42,2012-04-02 02:16:38
28,176,facilisi.,2008-06-29 19:43:45,2013-08-14 19:39:17
12,396,"aliquet,",2011-05-01 19:44:42,2011-12-05 05:20:50
3,388,et,2008-10-03 03:03:28,2012-03-17 22:26:41
47,379,"non,",2010-02-14 11:12:02,2013-12-09 19:21:39
27,275,"et,",2009-04-05 11:51:43,2013-03-07 04:20:27
27,213,tempus,2008-11-28 14:25:13,2014-04-11 23:27:04
42,272,"eu,",2008-06-15 01:52:26,2013-07-17 16:47:21
64,174,ridiculus,2008-10-04 23:31:09,2014-04-16 19:06:46
64,160,ac,2009-09-16 12:08:39,2013-05-22 02:07:49
77,346,amet,2009-01-26 09:34:19,2013-06-17 16:47:55
49,59,Nullam,2011-01-11 08:58:02,2012-08-20 23:08:21
71,106,odio,2008-08-15 10:50:40,2012-10-28 21:39:54
32,118,ultrices,2011-09-04 15:43:48,2013-02-04 11:56:17
84,304,lobortis.,2009-06-03 20:44:33,2014-09-21 08:28:10
42,13,"non,",2010-11-08 04:25:56,2013-04-24 02:21:42
31,120,mauris.,2010-05-14 00:14:23,2013-07-25 06:29:39
59,283,nulla,2011-05-21 07:50:44,2014-07-14 06:20:18
37,138,est,2011-07-03 12:29:19,2012-06-19 07:03:32
2,391,libero,2010-07-29 03:18:36,2014-06-28 12:34:25
21,299,ultrices.,2009-08-28 06:35:29,2012-09-13 17:47:48
11,95,lacus.,2009-07-28 11:10:16,2014-05-25 12:52:47
45,374,arcu.,2010-08-26 11:22:00,2013-07-17 12:40:34
79,103,magna.,2011-07-15 03:23:40,2014-10-07 07:35:43
9,38,ac,2007-12-04 05:47:15,2013-11-05 23:28:52
35,203,erat.,2009-06-10 05:37:22,2014-02-10 05:05:25
30,326,"lorem,",2011-07-30 12:16:42,2014-02-22 14:56:25
78,161,volutpat.,2009-03-28 19:12:57,2014-03-26 08:40:46
94,305,at,2009-03-30 03:42:29,2012-10-20 17:00:01
54,309,euismod,2010-09-07 16:12:13,2014-03-12 06:26:25
54,390,interdum.,2010-02-22 05:15:52,2013-08-31 07:13:56
41,34,Nulla,2011-09-03 08:20:22,2014-10-23 08:19:40
42,211,venenatis,2008-09-22 10:12:55,2012-01-02 04:25:07
70,124,"lorem,",2008-02-02 15:38:38,2013-08-09 12:38:27
28,159,neque,2010-10-01 09:40:59,2013-10-07 10:17:04
61,297,felis.,2011-08-06 11:56:12,2013-12-24 07:36:46
98,16,"pede,",2010-11-06 16:22:34,2012-08-24 03:25:45
65,325,neque.,2008-07-01 00:04:12,2013-04-07 18:27:36
3,300,"purus,",2008-03-04 17:05:12,2012-09-18 18:47:23
75,116,"ut,",2008-11-03 20:44:46,2014-04-10 04:08:03
46,329,luctus,2009-12-13 15:15:12,2014-03-29 06:03:18
91,91,Duis,2010-07-07 10:05:12,2014-03-12 05:20:03
60,258,tempor,2008-04-07 22:41:46,2014-06-14 22:36:17
23,137,vitae,2008-08-21 10:09:39,2012-04-17 23:47:15
12,245,sed,2011-06-14 20:41:15,2012-10-31 00:54:52
9,89,nisl,2008-09-12 22:58:14,2012-03-17 07:59:39
58,81,vel,2010-04-18 23:06:46,2014-01-03 13:14:22
89,338,ipsum,2010-10-29 20:10:58,2013-12-12 19:40:52
60,348,"vulputate,",2008-08-28 23:31:46,2014-01-13 16:31:25
7,248,ac,2008-12-02 23:49:37,2012-09-01 08:43:47
32,30,"non,",2011-08-21 14:42:09,2014-10-07 17:49:25
55,391,"at,",2010-08-12 01:08:48,2012-11-08 22:08:58
86,230,varius,2011-08-12 12:29:22,2014-03-10 19:12:14
71,320,mollis.,2011-06-08 00:56:25,2013-05-08 17:38:13
86,364,et,2011-07-12 17:15:59,2014-08-17 07:47:06
40,1,Nullam,2011-07-31 06:56:09,2013-04-21 19:03:17
70,231,Pellentesque,2008-05-23 19:02:57,2013-10-27 00:20:48
3,185,Donec,2008-03-31 14:41:26,2012-05-05 09:09:48
18,23,"purus,",2009-10-29 18:47:35,2014-05-30 18:38:14
8,50,"aliquet,",2008-06-02 23:29:47,2012-04-05 20:14:28
27,176,neque,2009-02-04 18:24:10,2014-03-16 06:26:05
29,394,nec,2007-12-18 01:36:39,2013-05-23 04:02:35
54,338,"ut,",2010-05-23 07:40:39,2013-09-20 01:26:52
43,218,libero,2011-02-13 00:24:32,2012-08-04 10:21:51
66,159,Sed,2009-01-13 06:47:35,2014-04-13 19:57:54
51,318,libero.,2011-05-28 03:42:42,2013-03-15 23:37:29
59,196,justo.,2010-09-26 11:44:45,2014-09-29 11:27:20
