id_user,id_source,type,created_at,updated_at
71,55,0,2011-10-07 21:19:16,2013-11-22 14:32:03
5,301,1,2012-04-03 23:06:17,2014-09-01 07:09:48
79,241,0,2012-06-15 10:27:04,2014-09-27 11:12:03
32,176,0,2012-09-02 07:57:40,2013-10-27 13:22:35
61,166,1,2010-12-08 15:54:01,2013-08-27 16:36:03
44,97,1,2012-10-12 13:41:18,2014-07-02 20:15:12
13,374,1,2011-01-20 14:11:28,2014-05-04 08:54:03
95,14,0,2011-06-14 23:56:04,2013-05-06 20:33:23
32,91,1,2011-06-03 16:40:33,2013-08-09 07:15:35
21,118,0,2012-10-18 18:51:57,2013-02-04 04:14:06
34,397,0,2011-09-05 06:40:40,2014-06-17 23:36:53
16,17,1,2012-09-23 11:40:10,2013-03-16 20:16:16
51,330,1,2010-12-16 01:15:35,2013-08-31 12:24:03
48,59,0,2012-03-22 11:19:13,2014-04-16 15:00:04
8,301,0,2011-11-02 12:53:03,2014-04-21 17:53:58
57,76,1,2012-06-26 10:12:19,2012-12-14 23:18:25
70,125,1,2011-10-10 08:18:02,2014-03-31 09:59:43
97,103,1,2011-08-08 22:39:51,2013-08-23 18:19:06
48,227,1,2012-08-09 21:43:45,2013-07-12 20:49:12
65,310,0,2012-09-24 00:31:24,2014-04-02 05:48:38
23,44,0,2011-01-19 14:51:47,2014-01-03 02:15:49
96,105,0,2011-12-23 08:18:12,2013-10-13 06:28:05
43,308,0,2011-11-22 09:46:43,2013-06-18 00:29:48
52,100,0,2011-07-11 19:56:36,2013-09-16 16:00:26
4,131,1,2012-08-16 17:55:42,2013-12-13 05:52:22
98,357,0,2011-11-12 05:15:44,2014-02-17 20:29:08
16,237,0,2011-06-15 14:56:33,2014-05-08 12:29:19
28,225,1,2012-04-01 05:01:01,2013-05-10 16:42:45
35,304,1,2012-06-19 21:55:21,2013-02-22 08:04:17
56,171,0,2012-03-02 02:50:14,2013-02-17 06:15:18
54,66,0,2011-02-22 13:01:11,2014-11-07 14:06:11
33,207,1,2011-01-28 18:13:21,2013-10-10 02:28:39
38,171,1,2012-02-21 09:46:05,2013-11-09 04:56:37
48,334,1,2011-02-24 23:40:42,2013-07-19 04:28:32
67,263,0,2011-06-12 13:08:31,2013-06-16 23:32:24
35,335,1,2011-09-14 23:04:28,2013-07-09 18:21:49
2,101,1,2012-05-05 09:46:10,2014-11-15 12:52:47
56,135,0,2011-08-08 17:13:49,2013-09-09 10:52:54
5,274,1,2011-04-06 08:11:20,2014-08-12 18:28:05
43,96,0,2011-08-04 01:52:11,2014-10-14 02:29:55
24,308,1,2012-03-30 23:48:48,2013-01-30 20:52:49
88,38,0,2012-02-04 16:12:52,2014-02-14 15:33:20
92,187,0,2012-10-20 14:07:30,2014-04-28 17:25:21
41,376,0,2012-08-06 05:29:50,2012-12-13 02:57:08
49,242,1,2012-09-06 09:31:10,2013-12-01 23:21:03
20,380,1,2012-03-29 22:18:29,2014-08-10 03:18:28
22,387,0,2011-03-13 14:11:38,2014-04-24 08:03:36
65,211,0,2011-06-15 20:12:45,2013-03-29 14:59:46
35,230,0,2010-12-08 06:50:35,2013-03-09 01:03:05
81,1,0,2011-08-29 10:01:35,2014-01-16 08:48:57
70,94,0,2011-11-25 01:33:10,2014-09-27 06:39:55
75,44,0,2010-12-10 00:44:34,2013-01-15 05:13:37
32,8,1,2012-07-29 14:16:33,2013-12-17 07:22:26
32,171,1,2012-10-17 21:24:07,2013-10-21 11:02:35
16,363,0,2011-04-03 09:52:58,2014-01-18 13:05:27
66,45,0,2011-03-04 06:48:24,2013-04-11 07:24:09
100,131,0,2011-05-28 00:17:15,2014-08-16 20:27:11
59,389,1,2011-01-27 02:36:31,2014-02-24 10:01:40
53,127,0,2012-10-31 08:35:11,2014-07-11 19:55:56
15,49,0,2011-10-23 21:24:48,2014-08-16 18:54:33
100,325,1,2011-10-07 02:27:02,2013-07-14 16:28:38
63,224,1,2011-04-09 18:32:21,2013-04-16 03:17:58
36,351,1,2012-04-11 15:49:59,2013-01-30 10:44:12
55,79,0,2012-08-26 14:32:03,2013-07-28 07:08:55
69,141,1,2011-04-05 23:00:42,2013-01-12 10:55:56
43,4,0,2012-02-03 14:45:22,2013-05-31 16:33:34
13,2,0,2011-03-05 22:35:14,2014-07-22 20:11:39
80,237,0,2012-03-14 11:23:23,2014-05-04 07:40:08
100,46,1,2011-06-28 02:41:45,2014-03-01 03:33:57
77,102,1,2012-08-28 08:06:36,2014-11-13 00:32:14
54,101,1,2011-03-08 15:50:07,2013-07-09 17:11:26
55,352,0,2011-09-28 15:46:07,2014-04-06 19:59:41
67,95,0,2011-10-02 21:26:08,2013-06-07 07:16:06
81,313,0,2011-09-18 19:56:34,2013-04-28 02:34:01
37,188,1,2011-11-04 01:52:31,2013-12-27 04:30:17
85,359,1,2012-08-23 00:49:10,2012-12-24 03:42:21
44,11,1,2011-03-08 04:25:43,2014-10-13 20:10:00
36,328,0,2012-07-26 13:50:01,2014-07-15 04:52:10
25,324,0,2011-03-18 01:10:10,2014-01-06 07:23:10
46,231,1,2011-01-28 08:48:21,2014-03-27 02:44:43
79,48,1,2010-12-08 02:34:56,2014-10-07 14:38:02
94,266,1,2010-11-13 15:02:29,2014-10-15 12:22:23
66,134,1,2011-05-21 08:29:30,2013-06-10 01:58:58
25,56,1,2011-03-05 14:50:59,2013-05-08 08:33:05
4,202,0,2011-04-09 18:10:32,2012-11-30 04:30:22
19,141,0,2011-04-23 10:31:23,2013-08-04 09:39:56
34,314,0,2011-12-12 19:13:33,2013-11-16 11:34:58
50,56,1,2011-09-21 15:11:01,2014-05-06 18:18:30
25,154,1,2011-09-06 13:32:02,2013-02-20 00:20:25
12,335,0,2012-04-20 11:01:55,2013-10-26 20:00:26
24,251,1,2011-04-03 22:07:18,2013-04-25 17:30:08
62,227,0,2011-03-15 13:44:27,2014-09-10 16:48:36
87,89,1,2012-10-17 13:44:40,2014-05-07 20:53:58
37,187,1,2012-07-22 23:03:35,2014-06-18 08:48:19
65,202,0,2011-12-07 21:24:45,2014-08-18 12:21:05
39,274,1,2012-09-20 09:04:41,2014-02-25 10:45:09
4,10,0,2011-01-18 09:52:02,2013-01-17 15:51:43
72,207,0,2011-01-31 08:23:57,2014-04-11 03:42:24
22,305,1,2011-03-24 18:35:42,2012-12-04 11:44:24
53,351,1,2011-12-18 08:06:47,2014-11-13 11:21:52
42,46,0,2011-12-26 03:11:37,2013-08-14 22:13:39
43,289,1,2012-06-14 02:32:39,2014-01-07 02:36:50
10,236,0,2012-07-17 09:38:15,2014-11-04 15:10:15
12,380,1,2011-03-08 17:17:21,2012-12-05 02:37:42
27,237,0,2011-06-11 07:35:24,2014-03-20 06:03:43
92,393,1,2012-04-26 02:05:55,2014-05-22 02:35:52
94,10,1,2012-10-18 19:42:34,2013-10-15 12:47:41
74,294,0,2010-11-21 16:31:52,2014-09-27 14:47:07
68,378,0,2011-03-17 19:19:16,2013-11-14 11:32:56
100,188,1,2012-07-11 07:53:18,2013-05-21 20:31:09
17,352,0,2012-07-28 01:32:44,2014-06-13 12:57:19
97,123,1,2011-12-16 13:00:49,2014-08-30 07:13:19
33,162,0,2012-09-05 13:23:20,2013-02-23 14:44:11
92,207,0,2012-09-15 02:56:20,2013-12-08 01:26:09
98,311,1,2011-03-06 23:42:43,2013-04-24 05:52:42
54,279,1,2012-04-04 10:44:53,2014-01-31 22:10:19
80,252,1,2012-02-06 14:51:21,2013-12-19 22:18:22
7,145,1,2010-11-18 09:46:14,2013-04-22 22:54:57
86,15,1,2011-01-23 06:37:21,2013-05-16 02:23:19
42,14,0,2011-04-03 04:13:39,2013-11-20 01:32:32
86,79,1,2011-12-28 06:14:56,2014-03-22 02:07:08
42,64,0,2011-07-27 00:59:11,2013-08-08 19:53:48
70,194,1,2012-02-10 17:57:41,2013-12-05 06:51:36
57,161,0,2012-07-11 11:46:36,2013-03-25 09:11:32
39,152,1,2011-12-31 18:21:59,2013-12-06 09:25:06
81,367,1,2012-06-27 04:40:06,2014-04-27 17:55:10
22,283,0,2011-07-20 07:25:18,2012-12-22 00:22:19
65,310,1,2011-09-19 17:13:56,2014-02-22 10:04:36
