id_user,id_source,type,created_at
86,467,1,2013-12-01 08:44:46
73,523,0,2013-03-08 06:12:20
76,472,1,2014-11-18 09:20:23
29,516,0,2014-05-29 12:54:40
19,486,1,2013-04-20 08:49:47
56,444,0,2013-10-30 15:30:14
20,448,1,2013-04-21 05:57:46
29,457,0,2013-12-15 20:09:24
57,452,0,2013-11-09 04:44:20
77,519,1,2014-09-09 03:05:02
54,505,0,2014-02-17 13:34:55
36,478,1,2014-07-12 21:23:06
44,455,0,2014-04-11 16:56:32
10,482,0,2013-03-20 18:11:31
58,500,1,2012-12-07 23:29:16
48,457,0,2013-12-30 04:28:05
95,476,0,2014-03-26 07:46:06
59,503,1,2014-09-19 20:15:54
81,461,1,2013-05-23 16:22:10
89,438,1,2013-01-05 12:32:31
48,489,1,2013-02-20 20:58:27
49,523,0,2013-09-17 17:07:41
49,468,1,2014-05-29 05:28:30
94,477,0,2013-02-10 11:52:30
33,436,1,2014-08-02 15:43:10
31,482,0,2014-03-19 19:38:17
47,477,1,2012-12-28 01:52:22
85,436,0,2014-10-20 11:05:11
53,514,1,2013-07-20 05:50:29
46,503,1,2013-01-11 08:03:00
35,452,1,2013-12-17 09:08:58
5,499,1,2014-07-25 09:45:56
28,449,1,2014-04-06 03:52:42
79,443,0,2014-04-08 00:20:15
87,474,1,2014-06-01 13:00:37
71,503,0,2014-01-04 01:07:46
85,452,1,2013-01-23 00:54:33
50,437,1,2014-03-20 14:52:19
93,488,1,2013-06-19 16:06:18
70,436,0,2013-12-31 23:44:00
59,469,1,2013-10-14 05:50:24
11,473,0,2014-04-20 01:50:03
62,499,1,2014-04-08 12:09:31
56,479,1,2014-05-07 00:13:55
1,466,0,2014-07-20 11:28:55
56,438,0,2014-02-09 09:34:57
67,519,0,2013-10-18 03:43:50
29,471,0,2013-08-01 02:43:50
9,438,0,2013-03-05 19:29:24
61,466,0,2013-12-13 04:30:33
47,470,1,2013-06-11 15:54:15
98,457,1,2013-08-18 02:44:57
42,483,1,2013-04-09 04:03:13
89,478,1,2013-01-24 06:59:28
17,437,0,2013-01-11 19:31:11
9,453,1,2013-01-30 09:11:53
96,462,0,2013-08-09 14:32:18
10,500,1,2013-12-13 10:32:18
89,509,0,2014-06-11 01:21:46
15,471,0,2013-04-20 00:01:11
40,515,1,2014-05-02 02:03:52
15,513,0,2013-04-29 12:37:06
96,456,1,2013-12-27 01:46:01
72,445,0,2013-05-08 15:12:14
38,461,0,2014-10-09 23:13:28
68,469,1,2013-08-22 20:25:15
43,465,1,2013-07-29 09:15:49
77,475,1,2013-11-15 08:44:55
68,464,1,2014-10-23 02:38:32
68,477,0,2014-05-08 23:35:46
9,515,1,2014-11-09 08:40:07
94,433,1,2013-01-12 22:48:20
10,429,0,2014-04-27 04:39:21
84,498,0,2014-10-08 20:50:46
11,438,1,2014-04-11 18:31:51
48,503,0,2013-07-02 10:26:15
12,448,1,2013-02-20 15:18:33
11,521,0,2013-12-07 19:51:36
87,490,0,2013-02-12 15:11:38
47,459,1,2014-11-04 02:50:54
52,468,1,2014-02-05 09:53:41
49,461,1,2013-12-28 15:54:41
34,471,1,2013-12-21 18:53:39
49,455,1,2013-05-06 02:48:24
84,466,1,2014-04-26 22:12:25
53,512,1,2014-07-06 09:03:13
66,523,1,2013-07-09 06:14:38
19,437,1,2014-02-13 16:57:09
20,519,0,2013-10-19 00:12:57
60,468,1,2013-08-13 17:57:59
51,517,0,2014-06-13 05:35:59
33,467,0,2013-12-12 17:12:54
21,500,1,2013-05-31 22:01:44
11,451,0,2013-03-16 21:29:57
75,435,1,2013-04-23 02:25:40
50,485,0,2014-04-27 10:01:00
3,452,0,2014-03-07 08:13:38
78,469,1,2013-03-25 15:14:24
51,488,1,2014-07-29 21:48:33
89,449,1,2012-12-19 20:31:42
60,497,1,2014-02-21 02:21:46
72,432,0,2012-12-27 21:14:27
20,452,0,2013-12-12 00:02:32
13,462,0,2013-03-23 02:54:56
35,437,0,2013-01-20 02:34:42
97,484,1,2012-12-06 20:38:23
47,487,0,2013-04-14 00:25:20
96,466,1,2013-07-16 17:22:25
54,514,0,2013-08-01 00:38:39
9,503,1,2014-10-14 15:49:46
5,464,0,2014-04-27 18:17:19
95,437,0,2014-08-23 07:39:49
27,455,1,2013-04-03 02:25:43
34,467,1,2013-07-15 16:26:54
65,500,0,2014-02-22 05:52:16
3,497,1,2014-11-03 06:14:43
1,445,0,2014-03-15 01:11:08
25,441,1,2013-09-24 15:39:18
92,492,1,2013-09-05 23:17:24
23,500,0,2013-12-19 02:59:53
76,505,1,2014-02-07 10:52:02
2,500,1,2013-02-05 13:26:08
33,430,0,2014-10-19 13:43:07
90,462,1,2013-07-18 02:51:11
83,523,0,2013-10-01 03:36:08
86,429,1,2012-12-02 21:19:04
48,430,0,2013-01-25 21:55:20
72,453,0,2014-01-14 19:08:13
36,445,1,2014-07-19 18:28:04
90,467,1,2013-07-26 01:51:20
23,443,1,2013-12-19 21:59:10
94,445,0,2013-03-13 02:22:03
74,477,0,2013-06-03 14:55:52
83,467,1,2014-01-17 06:25:47
34,450,1,2014-07-26 11:25:00
60,435,1,2014-09-30 14:39:27
58,481,1,2013-08-05 19:08:13
75,453,1,2014-07-10 15:19:22
5,487,0,2014-09-22 03:20:21
3,478,1,2014-04-28 03:08:09
76,500,1,2013-06-17 13:58:08
31,493,1,2014-03-31 13:14:08
61,468,0,2013-01-11 02:24:28
93,452,1,2014-10-31 21:17:56
61,484,0,2013-09-29 22:33:57
29,445,0,2014-03-26 06:45:59
98,501,1,2014-05-13 00:39:47
69,476,1,2014-05-23 07:51:11
